Name,Affiliation,Country 
Abigale Stangl,Georgia Institute of Technology,USA 
Abir Saha,Northeastern University,USA
Aboubakar Mountapmbeme,University of North Texas,USA 
Afroza Sultana,Toronto Metropolitan University,Canada
Ahmed Sabbir Arif,"University of California, Merced",USA 
Amy Pavel,University of Texas at Austin,USA 
Ana Cristina Pires,University of Lisbon,Portugal
Andrew Begel,Carnegie Mellon University,USA 
Anhong Guo,University of Michigan,USA 
Anne Marie Piper,"University of California, Irvine",USA 
Annie Ross,Bucknell University,USA 
Anthony Hornof,University of Oregon,USA 
Aqueasha Martin,Indiana University – Indianapolis,USA
Arthur Theil,Birmingham City University,UK
Ather Sharif,Capital One,USA
Atieh Taheri,Carnegie Mellon University,USA
Avery Mack,University of Washington,USA
Bineeth Kuriakose,University of Oslo,Norway
Catherine Holloway,University College London,UK
Cecily Morrison,Microsoft Research,UK
Christophe Jouffrais,Centre National de la Recherche Scientifique (CNRS),France
Christopher Power,University of Prince Edward Island,Canada
Daisuke Sato,Carnegie Mellon University,USA
Danielle Bragg,Microsoft Research,USA
Davide Bolchini,Indiana University,USA
Dhruv Jain,University of Michigan,USA
Dylan Gaines,Michigan Technological University ,USA
Earl Huff,University of Texas at Austin,USA
Edward Cutrell,Microsoft Research,USA
Emma Dixon,Clemson University,USA
Emma McDonnell,University of Washington,USA
Erin Brady,Indiana University – Indianapolis,USA
Erin Buehler,Google,USA
Fabio Paternò,Consiglio Nazionale delle Ricerche (CNR),Italy
Foad Hamidi,"University of Maryland, Baltimore County",USA
Francisco Iniesto,National University of Distance Education (UNED),Spain
Garreth Tigwell,Rochester Institute of Technology,USA
Gerhard Weber,Dresden University of Technology,Germany
Hernisa Kacorri,University of Maryland,USA
Hironobu Takagi,IBM Research Tokyo,Japan
Hrishikesh Rao,University of Michigan,USA
Hugo Nicolau,University of Lisbon,Portugal
Isabel Neto,University of Lisbon,Portugal
Iyad Abu Doush,Yarmouk University,Jordan 
Jaisie Sin,Carleton University,Canada
Jason Wu,Apple,USA
Jazette Johnson,University of Washington,USA
Jeffrey Bigham,Carnegie Mellon University & Apple,USA
Jenny Waycott,University of Melbourne,Australia 
João Guerreiro,University of Lisbon,Portugal 
John Tang,Microsoft Research,USA
Karyn Moffatt,McGill University,Canada
Kathy McCoy,University of Delaware,USA
Kathrin Gerling,Karlsruhe Institute of Technology,Germany
Kathryn Ringland,"University of California, Santa Cruz",USA
Keith Vertanen,Michigan Technological University,USA
Khai Truong,University of Toronto,Canada
Kim Marriott,Monash University,Australia 
Kirsten Ellis,Monash University,Australia 
Kotaro Hara,Singapore Management University,Singapore
Krishna Venkatasubramanian,University of Rhode Island,USA
Kyle Montague,Northumbria University,UK
Lauren Milne,Macalester College,USA
Leah Findlater,University of Washington & Apple,USA
Letícia Pereira,University of Lisbon,Portugal
Lizbeth Escobedo,Dalhousie University,Canada
Lynn Kirabo,Harvey Mudd College,USA
Maitraye Das,Northeastern University,USA
Manohar Swaminathan,Microsoft Research,India
Maria Wolters,University of Edinburgh and OFFIS Institute for Information Technology,UK
Markel Vigo,University of Manchester,UK
Maryam Bandukda,University College London,UK
Masatomo Kobayashi,IBM Research Tokyo,Japan
Matt Huenerfauth,Rochester Institute of Technology,USA
Maulishree Pandey,Google,USA
Megan Hofmann,Northeastern University,USA
Michael Crabb,University of Dundee,UK
Michele Williams,M.A.W. Consulting,USA
Monnie Parida,IIT Kharagpur,India
Novia Nurain,University of Michigan,USA
Oliver Alonzo,DePaul University,USA
Ombretta Gaggi,University of Padua,Italy
Oussama Metatla,University of Bristol,UK
Paige Rodeghero,Clemson University,USA
Patrick Carrington,Carnegie Mellon University,USA
Rachel Franz,The Hong Kong University of Science and Technology (Guangzhou),China
Rachel Menzies,University of Dundee,UK
Rafik Belloum,Université Polytechnique des Hauts de France,France
Raja Kushalnagar,Gallaudet University,USA
Roshan Peiris,Rochester Institute of Technology,USA
Rua Williams,Purdue University,USA
Saad Hassan,Tulane University,USA
Sayan Sarcar,Birmingham City University,UK
Sergio Mascetti,University of Milan,Italy
Shaomei Wu,AImpower.org,USA
Shari Trewin,Google,USA
Sidas Saulynas,University of Maryland Baltimore County,USA
Stacy Branham,"University of California, Irvine",USA
Stacy Hsueh,University of Washington,USA
Stephanie Ludi,University of North Texas,USA
Stephanie Valencia,University of Maryland,USA
Sukru Eraslan,Middle East Technical University,Northern Cyprus
Swaroop Joshi,"BITS Pilani, KK Birla Goa Campus",India
Syed Masum Billah,Pennsylvania State University,USA
Tamanna Motahar,University of Washington,USA
Taslima Akter,University of Texas San Antonio,USA
Tiago Guerreiro,University of Lisbon,Portugal
Tim Neate,King’s College London,UK
Vaishnav Kameswaran,University of Maryland,USA
Varsha Koushik,Colorado College,USA
Venkatesh Potluri,University of Michigan,USA
Vinitha Gadiraju,Wellesley College,USA
Vinod Namboodiri,Lehigh University,USA
William Payne,University of North Carolina at Chapel Hill,USA
Yao-Jen Chang,Chung Yuan Chrsitian University,Taiwan
Yeliz Yesilada,Middle East Technical University,Northern Cyprus
Yuhang Zhao,University of Wisconsin-Madison,USA
